"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"U05259_rna1_at",-3.14198727860529,10.3827285146494,-8.57849463948661,1.09896766158024e-12,4.12344234705553e-10,18.5832745244137,"CD79A"
"X62320_at",1.80581219129704,10.0609020637151,8.26023877990635,4.37649473107554e-12,1.56000154689188e-09,17.2445414268142,"GRN"
"M83667_rna1_s_at",3.55100595291405,7.22084609601292,8.15057613745236,7.04541740830914e-12,2.39175146208742e-09,16.7832314400783,"CEBPD"
"M83652_s_at",3.02440693486064,7.7135230637905,8.11336545175083,8.2805406660643e-12,2.64655770902884e-09,16.6267255299349,"CFP"
"M31303_rna1_at",-1.07539681886415,11.2592008565675,-8.10629862195984,8.53848047519474e-12,2.64655770902884e-09,16.5970048801052,"STMN1"
"M96326_rna1_at",3.19760539315193,10.0341893884071,8.07142452718187,9.93385580550665e-12,2.95076908489404e-09,16.4503471968581,"AZU1"
"L47738_at",-1.87108124254484,9.03108457439903,-8.04730479255375,1.10300634902878e-11,3.14533290489048e-09,16.3489268692715,"CYFIP2"
"U22376_cds2_s_at",-1.92021136657583,10.8837007255902,-8.02866389797829,1.19593776573763e-11,3.27916935843983e-09,16.2705515319024,"MYB"
"M55150_at",1.07747761332222,9.77954331446647,8.00191990705674,1.34308929134326e-11,3.54625316962449e-09,16.15811879265,"FAH"
"X62654_rna1_at",1.69163661055403,9.71784104021022,7.99242497031166,1.39957288083138e-11,3.56341252408818e-09,16.1182053302627,"CD63"
"X07743_at",1.97735664417052,8.20070078404296,7.74913627161048,4.01824599111435e-11,9.8779571278118e-09,15.0963565960783,"PLEK"
"L09717_at",0.900031309875417,7.08577029396783,7.71910017036774,4.57640571390573e-11,1.08750654448113e-08,14.9703433863628,"LAMP2"
"D88270_at",-3.55492267355171,9.32873176357772,-7.66714993443092,5.7304259601515e-11,1.28289340653038e-08,14.7524836591994,"VPREB1"
"Y08612_at",-0.877331505115877,8.22455497842793,-7.66601924637373,5.75853401724956e-11,1.28289340653038e-08,14.7477433392183,"NUP88"
"M33195_at",2.6188830994495,8.30231620967304,7.58391761736957,8.21380833615406e-11,1.77443150389219e-08,14.4037059043562,"FCER1G"
"M63379_at",1.48338606341533,8.83818923550876,7.51599674263906,1.10160161655543e-10,2.30979938953637e-08,14.1193613221251,"CLU"
"M65214_s_at",-0.891101014892184,9.98985967377473,-7.50048409922866,1.17794365674291e-10,2.39930295112006e-08,14.0544562798703,"TCF3"
"X51521_at",-1.2145181068303,11.2211346855129,-7.49218640182722,1.22092103331466e-10,2.41776279069451e-08,14.0197445728883,"EZR"
"X16546_at",1.63769115672672,8.47507868856104,7.41926910770327,1.67252578147563e-10,3.22255035030804e-08,13.7148960455695,"RNASE2"
"U29175_at",-1.35190320387457,9.56093861660306,-7.40445680094783,1.78287595377122e-10,3.29457830859862e-08,13.6530121563796,"SMARCA4"
"M84371_rna1_s_at",-1.55865016704981,9.98997793553377,-7.40193972039349,1.8023362888953e-10,3.29457830859862e-08,13.6424976067018,"CD19"
"M13792_at",-1.56108267202677,11.5921683220072,-7.3846671129131,1.94170807770724e-10,3.46060922149373e-08,13.5703569015856,"ADA"
"D14664_at",1.2164755352267,7.25890502796648,7.37477865977328,2.02627839038276e-10,3.52325332805821e-08,13.5290662203781,"CD302"
"M22960_at",1.89824286610429,9.2373779543489,7.32307666263048,2.53196895048583e-10,4.29771586857464e-08,13.3132919976079,"CTSA"
"S50223_at",-1.49455727546384,7.47822150676927,-7.3040536307029,2.74813960521762e-10,4.5561598245573e-08,13.2339510535599,"ZNF22"
"X52056_at",3.50958050036123,7.24344601509825,7.26108832260561,3.30641610484545e-10,5.35714554805528e-08,13.0548558826753,"SPI1"
"M29696_at",-1.94916265596856,9.84701940722248,-7.21654456160747,4.00462198070912e-10,6.34421113343895e-08,12.8693392937433,"IL7R"
"X61587_at",2.67264862089875,8.70919432770176,7.16728669937792,4.94868354731564e-10,7.66938369756808e-08,12.6643863593469,"RHOG"
"X15414_at",-1.07929054490769,10.0014696065892,-7.15981906791473,5.10997204508609e-10,7.75084908711037e-08,12.6333336322609,"AKR1B1"
"D26156_s_at",-1.17268941904193,9.8081233495842,-7.10177578543586,6.55556978517795e-10,9.73638687469451e-08,12.392146437428,"SMARCA4"
"Y00787_s_at",3.46592338292388,9.32379241065769,7.06606600123332,7.64024736905958e-10,1.11157803049032e-07,12.2439207799548,"CXCL8"
"U77948_at",-1.05462700673013,9.62410333242185,-6.99953252912414,1.01592699572697e-09,1.42124415566484e-07,11.9680915485917,"GTF2I"
"M63838_s_at",-1.52077393912837,8.95243465506653,-6.99934542693992,1.01674080430505e-09,1.42124415566484e-07,11.9673165207155,"IFI16"
"M81695_s_at",1.18503886586795,9.17820391815678,6.99346355981301,1.0426574509489e-09,1.4294432630413e-07,11.9429541234393,"ITGAX"
"M33680_at",-1.63879024985057,11.9389373392619,-6.93309798761634,1.34971426628103e-09,1.8005460578004e-07,11.6931387954685,"CD81"
"U57721_at",1.05161778035635,7.65885190573394,6.9306580541875,1.36385870558594e-09,1.8005460578004e-07,11.6830498804622,"KYNU"
"D49950_at",0.795577590551176,7.3255289154408,6.8881684075703,1.63519163968402e-09,2.11950567260135e-07,11.5074673327251,"IL18"
"X82240_rna1_at",-4.39960626509403,8.83596280755357,-6.87402425478835,1.73692364907313e-09,2.21116583825757e-07,11.4490648995291,"TCL1A"
"M93056_at",2.09543144365602,9.11081898160124,6.81847682844908,2.20103503818958e-09,2.69767342319207e-07,11.2199358309149,"SERPINB1"
"M14636_at",1.17483021925569,7.14860280625081,6.81701884871058,2.21474808815996e-09,2.69767342319207e-07,11.213926832022,"PYGL"
"X05908_at",2.87624578361093,8.44358807903223,6.8151332034741,2.23260951000607e-09,2.69767342319207e-07,11.2061556189403,"ANXA1"
"M89957_at",-4.3628960627033,7.6147181621028,-6.79456614632945,2.43696864930361e-09,2.89552491681424e-07,11.1214224288233,"CD79B"
"HG3494-HT3688_at",2.07511701901383,8.38224873045244,6.78186483569497,2.57234455250722e-09,3.00626955980721e-07,11.0691215127185,NA
"X98411_at",0.980778875296947,9.26974650256247,6.77510599403519,2.64740187401067e-09,3.04408515481002e-07,11.0412986056926,"MYO1F"
"M32304_s_at",1.17289452739295,9.45475284941118,6.69610791130251,3.7036663240737e-09,4.13631963459565e-07,10.7165437227584,"TIMP2"
"M31166_at",1.10920065629629,7.04676587490315,6.69199446384754,3.76890301757171e-09,4.13631963459565e-07,10.6996565204288,"PTX3"
"X17042_at",2.29970143060362,10.9090166734127,6.69184046830757,3.771367320083e-09,4.13631963459565e-07,10.6990243574542,"SRGN"
"Z49194_at",-1.98620446074932,7.40162349605078,-6.68214596929037,3.9297664132757e-09,4.24474314549128e-07,10.6592342743459,"POU2AF1"
"M91432_at",-1.2902266398534,8.80832933619003,-6.66616627310332,4.20539979529607e-09,4.47467091651727e-07,10.5936755542218,"ACADM"
"U50136_rna1_at",1.05614126945651,10.097474521945,6.59318798591224,5.72891901347313e-09,6.0060975951544e-07,10.2947323473388,"LTC4S"
"X70297_at",1.31326317137306,8.01224968100848,6.57167019555664,6.27481118440332e-09,6.48306216429149e-07,10.2067362806472,"CHRNA7"
"L11672_r_at",-1.21513247193122,10.6190774622472,-6.55409554905338,6.75871517460678e-09,6.88326863996739e-07,10.1349169006075,"ZNF91"
"X97267_rna1_s_at",-2.49945911136328,10.1203875829276,-6.52597217949752,7.61119884051368e-09,7.64228683577775e-07,10.0200874834066,"PTPRCAP"
"M96803_at",-0.922443644938767,10.0537538000157,-6.50367626456002,8.3621275986274e-09,8.27966772925205e-07,9.9291387508708,"SPTBN1"
"U02020_at",1.77462478905757,8.38438816646361,6.48486300956642,9.05258792078953e-09,8.8057330773208e-07,9.85245709480224,"NAMPT"
"X74262_at",-1.52189422766334,9.34609170922953,-6.48257117316011,9.14047198375283e-09,8.8057330773208e-07,9.84311954929911,"RBBP4"
"M95678_at",1.10537684835741,10.5115122209545,6.46042838126452,1.00343612702222e-08,9.53799486605522e-07,9.75294733506533,"PLCB2"
"M28170_at",-1.3910842968162,7.17584449305795,-6.44722590105489,1.06080307762692e-08,9.9506120268452e-07,9.6992205228337,"CD19"
"X64072_s_at",2.54269423825125,9.5061156498568,6.42626146367253,1.15864705604724e-08,1.07272660552737e-06,9.61396548346062,"ITGB2"
"X90858_at",1.80032908235196,7.80911876502403,6.41545841343921,1.21250674382269e-08,1.10820007393743e-06,9.57006164814681,"UPP1"
"M54995_at",1.27348800447425,7.37747017006486,6.41183096918053,1.23114249768663e-08,1.11098922354532e-06,9.55532400028867,"PPBP"
"Y12670_at",1.07471938684313,8.91583993548614,6.39958479422109,1.29617816065992e-08,1.15505676341807e-06,9.50558632483906,"LEPROT"
"X66401_cds1_at",-1.33953016969779,9.78797831246592,-6.39604211803216,1.31561924833567e-08,1.15790736066481e-06,9.49120250711022,"PSMB9"
"D50918_at",-1.50897273242584,8.69880727158954,-6.37637414472384,1.42892428841414e-08,1.24229283562249e-06,9.4113862504983,"SEPTIN6"
"X76648_at",-1.35222293512657,9.02419223688586,-6.35900714473362,1.53698008152687e-08,1.32013626520543e-06,9.34096290626596,"GLRX"
"U72936_s_at",-1.13267080316947,8.22255137587031,-6.35033926898887,1.59390086862559e-08,1.34676749712328e-06,9.3058341340525,"ATRX"
"U82759_at",1.45087977155582,8.06231475644166,6.34612924692922,1.62229615466154e-08,1.34676749712328e-06,9.28877667508456,"HOXA9"
"X14008_rna1_f_at",1.94862303420152,10.860660422614,6.34578208366094,1.62465990675553e-08,1.34676749712328e-06,9.28737023570565,"LYZ"
"S46622_at",-0.834128628609614,7.74662789747636,-6.34289140879004,1.64447476762568e-08,1.34752420901189e-06,9.27566025724986,"PPP3CC"
"M57731_s_at",2.29141396012527,7.40037155793157,6.33250445417386,1.71767072989341e-08,1.39150848106934e-06,9.23359534170556,"CXCL2"
"Z23064_at",-0.621166413927318,9.93675140580527,-6.3108434130442,1.88085622066881e-08,1.50658696597168e-06,9.14593426827603,"RBMX"
"X56468_at",-0.879923925202961,10.87101599006,-6.29849695099584,1.98064506495095e-08,1.56267016878835e-06,9.09600632570275,"YWHAQ"
"M27783_s_at",3.03770531469999,8.6399579273993,6.29680630061424,1.99471153541506e-08,1.56267016878835e-06,9.08917163064209,"ELANE"
"L06797_s_at",-1.88339637273823,11.4590206269839,-6.27604262658027,2.17575144424386e-08,1.68597087456679e-06,9.00527383171975,"CXCR4"
"J04615_at",-2.35014373138426,9.60135522227773,-6.26874336225141,2.2431844595037e-08,1.71953354965611e-06,8.97579909873953,"SNRPN"
"M63959_at",0.9685062511229,9.74513124197876,6.25881560084573,2.33823267480598e-08,1.77332561049913e-06,8.93572613308274,"LRPAP1"
"X85116_rna1_s_at",1.67681554252658,9.05626194924294,6.24959413126172,2.43008584849116e-08,1.81090197193197e-06,8.89852043428736,"STOM"
"U49020_cds2_s_at",-1.30618413803408,8.03529544348906,-6.24875857188831,2.43858310149346e-08,1.81090197193197e-06,8.89514999922846,"MEF2A"
"S82470_at",0.931334493067084,10.2362836738627,6.24231305246744,2.50512726493675e-08,1.84113940945713e-06,8.86915478446953,"MBOAT7"
"S76617_at",-2.77416566562921,6.78067268906874,-6.20579633197582,2.91750341406294e-08,2.12233488151579e-06,8.72202814658629,"BLK"
"J03473_at",-1.2057057190878,9.8958158646904,-6.1993366485623,2.99714617679342e-08,2.15824798932932e-06,8.69602836484854,"PARP1"
"M98399_s_at",1.55208398392796,7.65455965678304,6.19351909019999,3.07071131133502e-08,2.18911009385074e-06,8.67261995871893,"CD36"
"D86967_at",-1.17686050898241,10.4176401165308,-6.1871710381105,3.1530244106735e-08,2.22207214526441e-06,8.64708443109618,"EDEM1"
"U62136_at",-0.824558172086886,8.19573796379722,-6.18518012992265,3.179286839907e-08,2.22207214526441e-06,8.63907745677905,"UBE2V2"
"M21119_s_at",2.62482807019413,8.79060544027654,6.17463354877382,3.32206122418748e-08,2.29931790944006e-06,8.59667438435628,"LYZ"
"HG2788-HT2896_at",1.31845742885597,10.5117378067464,6.1689998321812,3.40090859361325e-08,2.33125743883354e-06,8.57403262756882,NA
"K01396_at",1.85438415814552,8.75910627232416,6.15155985788843,3.65691801047883e-08,2.48287319016224e-06,8.50398135617556,"SERPINA1"
"M13452_s_at",1.3186754858773,9.17923621034896,6.13292946721531,3.95148141688425e-08,2.65755764348753e-06,8.42921509371289,"LMNA"
"L41559_at",1.0140545769362,6.97835466454167,6.12296303778142,4.11857323029242e-08,2.74404752885557e-06,8.38924696836305,"PCBD1"
"X78669_at",-0.739105356550413,7.69909383315742,-6.10989667650259,4.34826390345847e-08,2.87025679331069e-06,8.33687760779823,"RCN2"
"D23673_at",-0.645322262782003,10.9265217223871,-6.10733358409632,4.39478416377664e-08,2.874350119593e-06,8.32660891418052,"MPRIP"
"U16306_at",1.98323585448386,7.60763579259829,6.1019911131394,4.49333828203023e-08,2.8863571380139e-06,8.30520930343679,"VCAN"
"D10495_at",2.1302558335579,7.55967278027635,6.10194933198533,4.49411758057992e-08,2.8863571380139e-06,8.30504196927137,"PRKCD"
"M28130_rna1_s_at",3.0413232036001,8.38795539637836,6.09644523651519,4.59795676555367e-08,2.92668158764572e-06,8.28300110064171,"CXCL8"
"M19045_f_at",1.89339933310021,10.950473446778,6.09406118588152,4.64366689248814e-08,2.9296195819954e-06,8.27345621615695,"LYZ"
"U16954_at",-1.68904845255137,7.23097507025755,-6.08683218049838,4.78503569163255e-08,2.99232626716214e-06,8.24452100114977,"MLLT11"
"U05572_s_at",2.34296626059777,6.39831092152966,6.0347116278048,5.93823743544895e-08,3.6811908415057e-06,8.03622180756702,"MAN2B1"
"L33930_s_at",-2.78257703075549,8.76614015303879,-6.01573611637424,6.42302252628849e-08,3.94739030947506e-06,7.96052874511748,"CD24"
"J03801_f_at",1.8638845174137,10.9190075581346,5.99619687575212,6.9630745258654e-08,4.24271438417901e-06,7.88266779740517,"LYZ"
"X80230_at",-1.11183033843602,9.29566198257893,-5.99401006080979,7.0262406490574e-08,4.24492115145171e-06,7.87395881032271,"CDK9"
"X68560_at",-0.938111217034233,8.4143417242267,-5.99016614467923,7.13864733763366e-08,4.27658965294037e-06,7.85865294212479,"SP3"
"U70063_at",1.29735854422999,7.38632188948813,5.98243832704578,7.37003391393462e-08,4.37824270931e-06,7.82789174392088,"ASAH1"
"U41635_at",0.59876183801024,11.0464318001308,5.98043688102763,7.43115959919357e-08,4.37824270931e-06,7.81992695689192,"OS9"
"X63469_at",-0.907276008972763,7.83474300091365,-5.95731683703591,8.17462206824621e-08,4.77679350201043e-06,7.72798428155827,"GTF2E2"
"X67951_at",-1.68058608879791,11.1063361492578,-5.94696964467978,8.53071292927246e-08,4.94434572949458e-06,7.6868744334531,"PRDX1"
"U10868_at",0.844001413086136,9.39121303052526,5.94463480977299,8.61315927203355e-08,4.95187197180058e-06,7.67760133523349,"ALDH3B1"
"X75755_rna1_s_at",-0.752439155750432,8.77772816620805,-5.917962445754,9.61270405374691e-08,5.48231737593294e-06,7.57175554933047,"SRSF2"
"D42043_at",-0.890543985596089,10.4342798251533,-5.90398026696543,1.01815963527746e-07,5.76068257134368e-06,7.51633350580828,"RFTN1"
"L07633_at",-0.769874404232603,11.5646572791641,-5.87474088002441,1.14808675587387e-07,6.44465392332665e-06,7.40058057262498,"PSME1"
"X58529_at",-2.81981447141884,10.5664130378655,-5.86647963594722,1.18767336658874e-07,6.61478393000869e-06,7.36791184991406,"IGHM"
"M12959_s_at",-1.48599446662961,9.81849653165978,-5.86011181795812,1.21910371514655e-07,6.73720184905407e-06,7.34274148048737,"TRDV2"
"U18271_cds3_s_at",-0.797066921275551,8.31578606147536,-5.85785250528759,1.2304514172377e-07,6.7476062719135e-06,7.33381327493735,"TMPO"
"U79285_at",-1.38875345621887,7.67557016716751,-5.81789698713295,1.44925258787071e-07,7.88681045719871e-06,7.17611910092066,"NMT1"
"U60115_at",-1.55329047167466,9.17949068652349,-5.81227426066382,1.48297679060258e-07,8.00919813651954e-06,7.15395821341334,"FHL1"
"M27504_s_at",-1.16129056786389,7.38465925600892,-5.80817544305537,1.50804760563179e-07,8.08336194026243e-06,7.13780831389338,"TOP2B"
"U89922_s_at",-4.04863892044597,7.23150475513378,-5.78308637924286,1.67087758293954e-07,8.88931812595225e-06,7.03904268856622,"LTB"
"X13839_at",1.31348344051801,6.12792375393522,5.77733386372781,1.71058943619061e-07,9.0331793263725e-06,7.01641895815898,"ACTA2"
"U41767_s_at",0.510270517298286,9.92587953634338,5.75105481400653,1.90416881203753e-07,9.98148489780557e-06,6.91317128793324,"ADAM15"
"U09820_s_at",-0.718135729729649,8.63841600567465,-5.74298956954625,1.96780047510652e-07,1.02397442241127e-05,6.88151813216599,"ATRX"
"M62762_at",1.10367088437389,10.5917023384228,5.72490542080997,2.11819693343553e-07,1.09424825641028e-05,6.81060361642101,"ATP6V0C"
"D87076_at",-1.73849846815879,8.12753844740748,-5.68640078702406,2.47717954220679e-07,1.27049014074764e-05,6.6598888708207,"JADE2"
"U46751_at",1.14044040369603,10.9263710318043,5.6759754792669,2.58428234514607e-07,1.3159534884676e-05,6.61914751136587,"SQSTM1"
"M98045_at",-1.57260467248216,8.65211247833389,-5.66113953585963,2.7446051394043e-07,1.38768014459668e-05,6.56121825342619,"FPGS"
"U73737_at",-1.02186838006536,7.94367360581138,-5.64163198234977,2.97040360441684e-07,1.49126811942871e-05,6.48513543020776,"MSH6"
"M63835_at",1.46959002041396,5.86200245149608,5.6248553379767,3.17915652534179e-07,1.57539653222104e-05,6.41978379759329,"FCGR1A"
"D14658_at",-0.973368742782029,9.31387409676278,-5.62462096828247,3.18217282423663e-07,1.57539653222104e-05,6.41887136378678,"SPCS2"
"U60644_at",2.66254027290293,7.00596979772764,5.61652753483837,3.28808103445636e-07,1.61660204790616e-05,6.38737147325651,"PLD3"
"D29963_at",0.492339850612094,10.0158322110178,5.60974693989112,3.37947620158678e-07,1.65015656445974e-05,6.36099464893976,"CD151"
"D38073_at",-1.03534420131112,9.13318935932724,-5.5987402827041,3.53318783841175e-07,1.71347592517261e-05,6.31820449025524,"MCM3"
"U59878_at",0.990025966893041,8.42379789762548,5.58967880393315,3.66488423348258e-07,1.76533511489847e-05,6.28300101191876,"RAB32"
"X59350_at",-2.66454550638679,7.87673354922911,-5.58570016665267,3.72422425029541e-07,1.78187883760778e-05,6.26755118120893,"CD22"
"U50939_at",-0.878697103771907,8.49278784684274,-5.5827930931994,3.76817935684245e-07,1.79089004232865e-05,6.25626515700264,"NAE1"
"L05148_at",-0.93913334095414,9.42526633282831,-5.58083796785608,3.79802779599159e-07,1.79312186474331e-05,6.24867613645214,"ZAP70"
"J04029_s_at",-1.18652319110851,8.47052607291054,-5.57632229327139,3.86786004105081e-07,1.81407725214811e-05,6.23115205327693,"KRT10"
"D63874_at",-0.81471305649313,12.5188677627362,-5.55097717192976,4.28390713907943e-07,1.99607673166649e-05,6.132898113737,"HMGB1"
"U10485_at",-1.79589747667012,8.80371716539284,-5.54549570136786,4.37952035420577e-07,2.02737666267097e-05,6.1116716562653,"IRAG2"
"D26579_at",0.99502829252484,8.48780223581233,5.53296165051616,4.60611329583854e-07,2.118514947486e-05,6.06316605027133,"ADAM8"
"M83233_at",-1.35444073249162,6.87401453442981,-5.51678008515478,4.91577466397376e-07,2.24644599868391e-05,6.00060963278927,"TCF12"
"HG2855-HT2995_at",-1.14593038758512,10.2863342966425,-5.51392389755722,4.97252025037723e-07,2.25790425891333e-05,5.98957549315138,NA
"U40369_rna1_at",1.21637979659212,8.85905092236998,5.50851036515952,5.08184795864307e-07,2.29294266437763e-05,5.96866800988476,"SAT1"
"X66867_cds1_at",-1.02150217562883,8.17860661755409,-5.49429586859893,5.38029520935349e-07,2.40299330022043e-05,5.91380989152539,"MAX"
"Z69881_at",-1.83211450125149,9.92387093696204,-5.4924493139708,5.42030927386794e-07,2.40299330022043e-05,5.90668766884499,"ATP2A3"
"Z14982_rna1_at",-1.96729512335616,8.68955595396955,-5.49214760066434,5.4268750362672e-07,2.40299330022043e-05,5.90552404261607,"PSMB8"
"U59877_s_at",1.57439783042414,4.99433980445482,5.48814818337822,5.51465138546202e-07,2.42678702018264e-05,5.89010182219533,"RAB31"
"U02493_at",-0.647523760005532,12.1871024343647,-5.48154334783604,5.66267628840253e-07,2.44266040132013e-05,5.86464277798565,"NONO"
"M19508_xpt3_s_at",1.02396092326493,9.94704511353612,5.48126471120337,5.66900614501837e-07,2.44266040132013e-05,5.86356901692193,"MPO"
"U90549_at",-1.15020089997025,8.31884383037237,-5.4804459779843,5.68764579971545e-07,2.44266040132013e-05,5.86041405453576,"HMGN4"
"M21535_at",-0.768652684743631,7.34921612032154,-5.48044022182674,5.6877770601647e-07,2.44266040132013e-05,5.8603918740439,"ERG"
"Z35227_at",-1.06739222227885,9.12510080862351,-5.47858402533819,5.73026055882022e-07,2.44616931280415e-05,5.853239792571,"RHOH"
"Z29067_at",0.69043129840021,6.80032626770977,5.47540195744214,5.80381699822209e-07,2.46282210597174e-05,5.84098131003952,"NEK3"
"M59820_at",2.20584863059478,7.33963139483657,5.4677796433866,5.98381088724565e-07,2.52417679379729e-05,5.811629188958,"CSF3R"
"L38951_at",-1.36234674215302,8.99554866535143,-5.4502109116745,6.41984842338965e-07,2.69218231825558e-05,5.74403898327965,"KPNB1"
"M80647_at",2.07866436526724,5.9807724398715,5.4367412188476,6.77517002684796e-07,2.82457234628065e-05,5.69227912974778,"TBXAS1"
"M15395_at",1.98498944461408,9.5969086509148,5.42203110583975,7.18531278656614e-07,2.97688172624022e-05,5.63581323810933,"ITGB2"
"M60527_at",-0.85384758044066,7.85504720641718,-5.42031215128369,7.23480439941098e-07,2.97688172624022e-05,5.62921904226575,"DCK"
"U97105_at",-1.4638698750961,9.16150774907544,-5.41924218722563,7.26577949734604e-07,2.97688172624022e-05,5.62511492095283,"DPYSL2"
"X55668_at",2.94872228627064,7.15905025784856,5.41558336863383,7.37268919417896e-07,2.97812568340909e-05,5.61108313234475,"PRTN3"
"D86479_at",-0.899735518674161,9.82178496018713,-5.41533364416894,7.3800421771832e-07,2.97812568340909e-05,5.61012556789037,"AEBP1"
"U88964_at",-0.919940488533943,10.0735930536074,-5.41485552976992,7.39414007523368e-07,2.97812568340909e-05,5.6082922972152,"ISG20"
"U07139_at",-1.31118004783121,6.41322907940618,-5.41146393452935,7.49490881667649e-07,3.00175308730824e-05,5.59528958043464,"CACNB3"
"J04990_at",1.69591139291083,9.73090900987008,5.40985676879787,7.54312992835199e-07,3.00418845023583e-05,5.58912920603588,"CTSG"
"U88666_at",-0.491202665022544,7.55765563389603,-5.40350548929205,7.73669370738846e-07,3.06416052444291e-05,5.56479180332569,"SRPK2"
"L38608_at",0.613836394456476,7.09227774608223,5.3889477125309,8.19896490567019e-07,3.22930501726645e-05,5.5090532090004,"ALCAM"
"U14588_at",0.599577960749508,9.18176693363032,5.37041088218816,8.82702863884629e-07,3.4575762179305e-05,5.43817134735205,"PXN"
"M20203_s_at",3.55246794403725,6.97443212374749,5.36580764221291,8.99018030222954e-07,3.50224018440407e-05,5.42058531007693,"ELANE"
"U27460_at",-1.00170005460453,8.30931011641486,-5.35098964944041,9.53574493741973e-07,3.69458291624268e-05,5.36401875491465,"UGP2"
"M57710_at",2.53432437108348,8.38426740606871,5.34258334277873,9.85956681376633e-07,3.7882506618914e-05,5.33195797681062,"LGALS3"
"HG3254-HT3431_at",0.476024944795734,7.91689127051867,5.34196573440431,9.88377925532054e-07,3.7882506618914e-05,5.32960333253942,NA
"U33822_at",-1.92663587188578,6.12455030351877,-5.33425855862735,1.01908831109546e-06,3.88506982342221e-05,5.30022937904597,"MAD1L1"
"HG2981-HT3127_s_at",1.32024084277009,7.46746905507388,5.33097687574388,1.0324473195884e-06,3.90682555786058e-05,5.28772759655691,NA
"D86970_at",-1.36946905229349,9.11571563988604,-5.33017067457657,1.03575540810163e-06,3.90682555786058e-05,5.28465682689525,"MYO18A"
"AB002559_at",0.708353376331324,10.1485564371813,5.31660897624583,1.0929887591311e-06,4.08336817485509e-05,5.23303114789519,"STXBP2"
"U18062_at",-0.887345460694741,8.81075518594128,-5.31631660889603,1.09425619304304e-06,4.08336817485509e-05,5.2319188099123,"TAF7"
"D21852_at",-0.715911838289962,8.66173680783757,-5.31505478443865,1.09974286656218e-06,4.08336817485509e-05,5.22711838795293,"R3HDM1"
"X07438_s_at",0.73442800188728,7.80495336383265,5.30744507321164,1.13340862656816e-06,4.18656481803336e-05,5.19817883244409,"RBP1"
"K01911_at",-2.36226160856336,7.88886931908135,-5.30531528555896,1.14301075059632e-06,4.20026991804184e-05,5.19008251567528,"NPY"
"X13973_at",0.733786526003813,9.4315984785934,5.29874161724622,1.17315444000324e-06,4.28893230911953e-05,5.16510182851974,"RNH1"
"X70683_at",-1.57219483174972,10.8870430846679,-5.29027806216238,1.21311547893639e-06,4.4123980863967e-05,5.13295919320613,"SOX4"
"Z93784_at",-0.786693844238141,8.16796786087502,-5.26105498080769,1.36163411579954e-06,4.92745665560147e-05,5.02214948684207,"ATXN10"
